"","exp_name","cell_name","AITC.100uM","Menthol.400uM","Capsaicin.300nM","K.40mM"
"X.35","RD.190125.71.f.m1.w1.Rdata","X.35",0,0,0,0
"X.36","RD.190125.71.f.m1.w1.Rdata","X.36",0,0,0,0
"X.37","RD.190125.71.f.m1.w1.Rdata","X.37",0,0,0,0
"X.38","RD.190125.71.f.m1.w1.Rdata","X.38",0,0,0,1
"X.39","RD.190125.71.f.m1.w1.Rdata","X.39",0,0,0,0
"X.40","RD.190125.71.f.m1.w1.Rdata","X.40",0,1,0,0
"X.41","RD.190125.71.f.m1.w1.Rdata","X.41",0,1,0,1
"X.42","RD.190125.71.f.m1.w1.Rdata","X.42",0,1,1,1
"X.43","RD.190125.71.f.m1.w1.Rdata","X.43",0,0,0,1
"X.44","RD.190125.71.f.m1.w1.Rdata","X.44",0,1,0,1
"X.45","RD.190125.71.f.m1.w1.Rdata","X.45",0,0,0,1
"X.46","RD.190125.71.f.m1.w1.Rdata","X.46",0,0,0,0
"X.47","RD.190125.71.f.m1.w1.Rdata","X.47",0,0,1,1
"X.48","RD.190125.71.f.m1.w1.Rdata","X.48",0,0,0,0
"X.49","RD.190125.71.f.m1.w1.Rdata","X.49",0,0,0,1
"X.50","RD.190125.71.f.m1.w1.Rdata","X.50",0,0,0,0
"X.51","RD.190125.71.f.m1.w1.Rdata","X.51",0,0,0,0
"X.52","RD.190125.71.f.m1.w1.Rdata","X.52",0,0,1,1
"X.53","RD.190125.71.f.m1.w1.Rdata","X.53",0,0,0,0
"X.54","RD.190125.71.f.m1.w1.Rdata","X.54",1,0,1,1
"X.55","RD.190125.71.f.m1.w1.Rdata","X.55",0,1,0,1
"X.56","RD.190125.71.f.m1.w1.Rdata","X.56",0,0,0,0
"X.57","RD.190125.71.f.m1.w1.Rdata","X.57",1,1,1,1
"X.58","RD.190125.71.f.m1.w1.Rdata","X.58",1,1,0,1
"X.59","RD.190125.71.f.m1.w1.Rdata","X.59",0,0,1,1
"X.60","RD.190125.71.f.m1.w1.Rdata","X.60",1,1,0,1
"X.61","RD.190125.71.f.m1.w1.Rdata","X.61",0,0,0,0
"X.62","RD.190125.71.f.m1.w1.Rdata","X.62",0,0,0,0
"X.63","RD.190125.71.f.m1.w1.Rdata","X.63",0,0,0,0
"X.64","RD.190125.71.f.m1.w1.Rdata","X.64",0,0,0,0
"X.65","RD.190125.71.f.m1.w1.Rdata","X.65",0,0,0,0
"X.66","RD.190125.71.f.m1.w1.Rdata","X.66",1,0,0,0
"X.67","RD.190125.71.f.m1.w1.Rdata","X.67",0,0,1,1
"X.68","RD.190125.71.f.m1.w1.Rdata","X.68",0,1,1,1
"X.69","RD.190125.71.f.m1.w1.Rdata","X.69",0,0,0,1
"X.70","RD.190125.71.f.m1.w1.Rdata","X.70",0,0,0,0
"X.71","RD.190125.71.f.m1.w1.Rdata","X.71",0,0,0,0
"X.72","RD.190125.71.f.m1.w1.Rdata","X.72",0,0,1,1
"X.73","RD.190125.71.f.m1.w1.Rdata","X.73",0,1,0,1
"X.74","RD.190125.71.f.m1.w1.Rdata","X.74",0,1,0,0
"X.75","RD.190125.71.f.m1.w1.Rdata","X.75",1,1,1,1
"X.76","RD.190125.71.f.m1.w1.Rdata","X.76",0,0,0,0
"X.77","RD.190125.71.f.m1.w1.Rdata","X.77",0,1,0,1
"X.78","RD.190125.71.f.m1.w1.Rdata","X.78",1,1,0,1
"X.79","RD.190125.71.f.m1.w1.Rdata","X.79",1,1,0,1
"X.80","RD.190125.71.f.m1.w1.Rdata","X.80",0,0,0,0
"X.81","RD.190125.71.f.m1.w1.Rdata","X.81",1,0,0,1
"X.82","RD.190125.71.f.m1.w1.Rdata","X.82",0,0,0,0
"X.83","RD.190125.71.f.m1.w1.Rdata","X.83",0,0,0,0
"X.84","RD.190125.71.f.m1.w1.Rdata","X.84",0,1,1,1
"X.85","RD.190125.71.f.m1.w1.Rdata","X.85",0,0,0,0
"X.86","RD.190125.71.f.m1.w1.Rdata","X.86",0,0,1,1
"X.87","RD.190125.71.f.m1.w1.Rdata","X.87",1,1,0,1
"X.88","RD.190125.71.f.m1.w1.Rdata","X.88",0,1,0,0
"X.89","RD.190125.71.f.m1.w1.Rdata","X.89",0,0,0,0
"X.90","RD.190125.71.f.m1.w1.Rdata","X.90",0,0,0,0
"X.91","RD.190125.71.f.m1.w1.Rdata","X.91",1,1,0,1
"X.92","RD.190125.71.f.m1.w1.Rdata","X.92",0,0,0,0
"X.93","RD.190125.71.f.m1.w1.Rdata","X.93",0,0,0,0
"X.94","RD.190125.71.f.m1.w1.Rdata","X.94",0,0,0,1
"X.95","RD.190125.71.f.m1.w1.Rdata","X.95",0,0,0,0
"X.96","RD.190125.71.f.m1.w1.Rdata","X.96",0,0,1,1
"X.97","RD.190125.71.f.m1.w1.Rdata","X.97",0,0,0,0
"X.98","RD.190125.71.f.m1.w1.Rdata","X.98",1,1,0,1
"X.99","RD.190125.71.f.m1.w1.Rdata","X.99",0,0,0,0
"X.100","RD.190125.71.f.m1.w1.Rdata","X.100",0,0,0,0
"X.101","RD.190125.71.f.m1.w1.Rdata","X.101",0,0,0,0
"X.102","RD.190125.71.f.m1.w1.Rdata","X.102",0,0,0,0
"X.103","RD.190125.71.f.m1.w1.Rdata","X.103",0,0,1,1
"X.104","RD.190125.71.f.m1.w1.Rdata","X.104",0,0,0,1
"X.105","RD.190125.71.f.m1.w1.Rdata","X.105",1,1,1,1
"X.106","RD.190125.71.f.m1.w1.Rdata","X.106",1,1,0,1
"X.107","RD.190125.71.f.m1.w1.Rdata","X.107",0,0,1,1
"X.108","RD.190125.71.f.m1.w1.Rdata","X.108",1,1,0,1
"X.109","RD.190125.71.f.m1.w1.Rdata","X.109",0,0,1,1
"X.110","RD.190125.71.f.m1.w1.Rdata","X.110",0,0,0,0
"X.111","RD.190125.71.f.m1.w1.Rdata","X.111",0,0,1,1
"X.112","RD.190125.71.f.m1.w1.Rdata","X.112",0,0,0,0
"X.113","RD.190125.71.f.m1.w1.Rdata","X.113",0,1,0,1
"X.114","RD.190125.71.f.m1.w1.Rdata","X.114",1,1,0,1
"X.115","RD.190125.71.f.m1.w1.Rdata","X.115",0,0,1,1
"X.116","RD.190125.71.f.m1.w1.Rdata","X.116",1,1,0,1
"X.117","RD.190125.71.f.m1.w1.Rdata","X.117",0,0,0,0
"X.118","RD.190125.71.f.m1.w1.Rdata","X.118",1,0,0,0
"X.119","RD.190125.71.f.m1.w1.Rdata","X.119",1,1,0,1
"X.120","RD.190125.71.f.m1.w1.Rdata","X.120",1,0,1,1
"X.121","RD.190125.71.f.m1.w1.Rdata","X.121",0,0,0,0
"X.122","RD.190125.71.f.m1.w1.Rdata","X.122",1,0,1,1
"X.123","RD.190125.71.f.m1.w1.Rdata","X.123",1,1,0,1
"X.124","RD.190125.71.f.m1.w1.Rdata","X.124",1,1,1,1
"X.125","RD.190125.71.f.m1.w1.Rdata","X.125",0,0,0,0
"X.126","RD.190125.71.f.m1.w1.Rdata","X.126",0,0,1,1
"X.127","RD.190125.71.f.m1.w1.Rdata","X.127",0,1,0,0
"X.128","RD.190125.71.f.m1.w1.Rdata","X.128",0,0,0,0
"X.129","RD.190125.71.f.m1.w1.Rdata","X.129",0,0,0,1
"X.130","RD.190125.71.f.m1.w1.Rdata","X.130",0,0,1,1
"X.131","RD.190125.71.f.m1.w1.Rdata","X.131",0,0,1,1
"X.132","RD.190125.71.f.m1.w1.Rdata","X.132",0,0,0,1
"X.133","RD.190125.71.f.m1.w1.Rdata","X.133",0,0,1,1
"X.134","RD.190125.71.f.m1.w1.Rdata","X.134",0,1,0,1
"X.135","RD.190125.71.f.m1.w1.Rdata","X.135",0,0,0,0
"X.136","RD.190125.71.f.m1.w1.Rdata","X.136",0,0,0,0
"X.137","RD.190125.71.f.m1.w1.Rdata","X.137",0,0,0,0
"X.138","RD.190125.71.f.m1.w1.Rdata","X.138",0,0,1,1
"X.139","RD.190125.71.f.m1.w1.Rdata","X.139",0,0,0,0
"X.140","RD.190125.71.f.m1.w1.Rdata","X.140",1,0,1,1
"X.141","RD.190125.71.f.m1.w1.Rdata","X.141",0,0,0,0
"X.142","RD.190125.71.f.m1.w1.Rdata","X.142",0,1,1,1
"X.143","RD.190125.71.f.m1.w1.Rdata","X.143",0,0,0,0
"X.144","RD.190125.71.f.m1.w1.Rdata","X.144",0,0,0,1
"X.145","RD.190125.71.f.m1.w1.Rdata","X.145",1,1,0,1
"X.146","RD.190125.71.f.m1.w1.Rdata","X.146",0,0,0,0
"X.147","RD.190125.71.f.m1.w1.Rdata","X.147",0,0,0,0
"X.148","RD.190125.71.f.m1.w1.Rdata","X.148",0,1,1,1
"X.149","RD.190125.71.f.m1.w1.Rdata","X.149",1,1,0,1
"X.150","RD.190125.71.f.m1.w1.Rdata","X.150",1,1,1,1
"X.151","RD.190125.71.f.m1.w1.Rdata","X.151",0,1,0,1
"X.152","RD.190125.71.f.m1.w1.Rdata","X.152",1,1,0,1
"X.153","RD.190125.71.f.m1.w1.Rdata","X.153",0,0,0,0
"X.154","RD.190125.71.f.m1.w1.Rdata","X.154",0,0,0,1
"X.155","RD.190125.71.f.m1.w1.Rdata","X.155",0,0,1,1
"X.156","RD.190125.71.f.m1.w1.Rdata","X.156",0,1,0,0
"X.157","RD.190125.71.f.m1.w1.Rdata","X.157",1,1,1,1
"X.158","RD.190125.71.f.m1.w1.Rdata","X.158",0,1,0,0
"X.159","RD.190125.71.f.m1.w1.Rdata","X.159",0,0,1,1
"X.160","RD.190125.71.f.m1.w1.Rdata","X.160",0,0,0,0
"X.161","RD.190125.71.f.m1.w1.Rdata","X.161",1,1,0,1
"X.162","RD.190125.71.f.m1.w1.Rdata","X.162",0,0,0,0
"X.163","RD.190125.71.f.m1.w1.Rdata","X.163",0,0,0,0
"X.164","RD.190125.71.f.m1.w1.Rdata","X.164",0,0,1,1
"X.165","RD.190125.71.f.m1.w1.Rdata","X.165",1,1,1,1
"X.166","RD.190125.71.f.m1.w1.Rdata","X.166",0,1,0,1
"X.167","RD.190125.71.f.m1.w1.Rdata","X.167",0,0,0,0
"X.168","RD.190125.71.f.m1.w1.Rdata","X.168",0,0,1,1
"X.169","RD.190125.71.f.m1.w1.Rdata","X.169",0,1,0,0
"X.170","RD.190125.71.f.m1.w1.Rdata","X.170",0,0,0,0
"X.171","RD.190125.71.f.m1.w1.Rdata","X.171",0,0,0,0
"X.172","RD.190125.71.f.m1.w1.Rdata","X.172",1,1,0,0
"X.173","RD.190125.71.f.m1.w1.Rdata","X.173",0,0,1,1
"X.174","RD.190125.71.f.m1.w1.Rdata","X.174",1,1,0,1
"X.175","RD.190125.71.f.m1.w1.Rdata","X.175",0,0,0,0
"X.176","RD.190125.71.f.m1.w1.Rdata","X.176",0,0,0,1
"X.177","RD.190125.71.f.m1.w1.Rdata","X.177",1,0,0,1
"X.178","RD.190125.71.f.m1.w1.Rdata","X.178",1,1,0,1
"X.179","RD.190125.71.f.m1.w1.Rdata","X.179",1,1,0,1
"X.180","RD.190125.71.f.m1.w1.Rdata","X.180",0,0,1,1
"X.181","RD.190125.71.f.m1.w1.Rdata","X.181",0,0,0,1
"X.182","RD.190125.71.f.m1.w1.Rdata","X.182",0,0,1,1
"X.183","RD.190125.71.f.m1.w1.Rdata","X.183",0,1,0,1
"X.184","RD.190125.71.f.m1.w1.Rdata","X.184",0,1,0,0
"X.185","RD.190125.71.f.m1.w1.Rdata","X.185",0,0,1,1
"X.186","RD.190125.71.f.m1.w1.Rdata","X.186",0,0,0,0
"X.187","RD.190125.71.f.m1.w1.Rdata","X.187",1,1,0,1
"X.188","RD.190125.71.f.m1.w1.Rdata","X.188",0,0,0,0
"X.189","RD.190125.71.f.m1.w1.Rdata","X.189",0,0,0,0
"X.190","RD.190125.71.f.m1.w1.Rdata","X.190",1,1,1,1
"X.191","RD.190125.71.f.m1.w1.Rdata","X.191",1,1,0,1
"X.192","RD.190125.71.f.m1.w1.Rdata","X.192",0,0,0,0
"X.193","RD.190125.71.f.m1.w1.Rdata","X.193",1,1,1,1
"X.194","RD.190125.71.f.m1.w1.Rdata","X.194",1,1,0,1
"X.195","RD.190125.71.f.m1.w1.Rdata","X.195",0,0,1,1
"X.196","RD.190125.71.f.m1.w1.Rdata","X.196",0,0,0,1
"X.197","RD.190125.71.f.m1.w1.Rdata","X.197",1,1,0,1
"X.198","RD.190125.71.f.m1.w1.Rdata","X.198",1,1,0,1
"X.199","RD.190125.71.f.m1.w1.Rdata","X.199",0,0,0,0
"X.200","RD.190125.71.f.m1.w1.Rdata","X.200",0,0,0,1
"X.201","RD.190125.71.f.m1.w1.Rdata","X.201",0,0,0,1
"X.202","RD.190125.71.f.m1.w1.Rdata","X.202",1,1,0,1
"X.203","RD.190125.71.f.m1.w1.Rdata","X.203",0,0,0,0
"X.204","RD.190125.71.f.m1.w1.Rdata","X.204",0,0,0,0
"X.205","RD.190125.71.f.m1.w1.Rdata","X.205",1,1,0,1
"X.206","RD.190125.71.f.m1.w1.Rdata","X.206",1,1,0,1
"X.207","RD.190125.71.f.m1.w1.Rdata","X.207",0,0,0,0
"X.208","RD.190125.71.f.m1.w1.Rdata","X.208",0,1,0,0
"X.209","RD.190125.71.f.m1.w1.Rdata","X.209",0,0,0,1
"X.210","RD.190125.71.f.m1.w1.Rdata","X.210",0,1,0,0
"X.211","RD.190125.71.f.m1.w1.Rdata","X.211",0,0,0,0
"X.212","RD.190125.71.f.m1.w1.Rdata","X.212",0,0,0,0
"X.213","RD.190125.71.f.m1.w1.Rdata","X.213",1,1,0,1
"X.214","RD.190125.71.f.m1.w1.Rdata","X.214",0,0,0,0
"X.215","RD.190125.71.f.m1.w1.Rdata","X.215",0,0,0,0
"X.216","RD.190125.71.f.m1.w1.Rdata","X.216",0,0,0,1
"X.217","RD.190125.71.f.m1.w1.Rdata","X.217",0,1,0,0
"X.218","RD.190125.71.f.m1.w1.Rdata","X.218",0,0,0,1
"X.219","RD.190125.71.f.m1.w1.Rdata","X.219",0,0,0,0
"X.220","RD.190125.71.f.m1.w1.Rdata","X.220",0,0,1,1
"X.221","RD.190125.71.f.m1.w1.Rdata","X.221",0,0,0,1
"X.222","RD.190125.71.f.m1.w1.Rdata","X.222",0,0,0,1
"X.223","RD.190125.71.f.m1.w1.Rdata","X.223",1,1,0,1
"X.224","RD.190125.71.f.m1.w1.Rdata","X.224",0,0,1,1
"X.225","RD.190125.71.f.m1.w1.Rdata","X.225",1,1,1,1
"X.226","RD.190125.71.f.m1.w1.Rdata","X.226",1,1,0,1
"X.227","RD.190125.71.f.m1.w1.Rdata","X.227",0,0,0,1
"X.228","RD.190125.71.f.m1.w1.Rdata","X.228",0,1,1,1
"X.229","RD.190125.71.f.m1.w1.Rdata","X.229",0,0,0,0
"X.230","RD.190125.71.f.m1.w1.Rdata","X.230",0,0,0,0
"X.231","RD.190125.71.f.m1.w1.Rdata","X.231",1,1,0,1
"X.232","RD.190125.71.f.m1.w1.Rdata","X.232",0,0,0,1
"X.233","RD.190125.71.f.m1.w1.Rdata","X.233",0,0,1,1
"X.234","RD.190125.71.f.m1.w1.Rdata","X.234",0,0,0,0
"X.235","RD.190125.71.f.m1.w1.Rdata","X.235",0,0,0,0
"X.236","RD.190125.71.f.m1.w1.Rdata","X.236",0,0,1,1
"X.237","RD.190125.71.f.m1.w1.Rdata","X.237",1,0,0,0
"X.238","RD.190125.71.f.m1.w1.Rdata","X.238",0,0,0,0
"X.239","RD.190125.71.f.m1.w1.Rdata","X.239",0,0,1,1
"X.240","RD.190125.71.f.m1.w1.Rdata","X.240",0,0,1,1
"X.241","RD.190125.71.f.m1.w1.Rdata","X.241",0,0,0,0
"X.242","RD.190125.71.f.m1.w1.Rdata","X.242",0,0,0,0
"X.243","RD.190125.71.f.m1.w1.Rdata","X.243",0,0,0,0
"X.244","RD.190125.71.f.m1.w1.Rdata","X.244",0,0,0,0
"X.245","RD.190125.71.f.m1.w1.Rdata","X.245",1,1,0,1
"X.246","RD.190125.71.f.m1.w1.Rdata","X.246",1,1,0,1
"X.247","RD.190125.71.f.m1.w1.Rdata","X.247",0,0,1,1
"X.248","RD.190125.71.f.m1.w1.Rdata","X.248",1,1,0,1
"X.249","RD.190125.71.f.m1.w1.Rdata","X.249",0,0,0,0
"X.250","RD.190125.71.f.m1.w1.Rdata","X.250",1,1,0,1
"X.251","RD.190125.71.f.m1.w1.Rdata","X.251",1,1,0,1
"X.252","RD.190125.71.f.m1.w1.Rdata","X.252",0,0,1,1
"X.253","RD.190125.71.f.m1.w1.Rdata","X.253",0,0,0,0
"X.254","RD.190125.71.f.m1.w1.Rdata","X.254",1,1,0,1
"X.255","RD.190125.71.f.m1.w1.Rdata","X.255",0,0,0,0
"X.256","RD.190125.71.f.m1.w1.Rdata","X.256",0,0,0,0
"X.257","RD.190125.71.f.m1.w1.Rdata","X.257",1,1,0,1
"X.258","RD.190125.71.f.m1.w1.Rdata","X.258",0,1,1,1
"X.259","RD.190125.71.f.m1.w1.Rdata","X.259",1,1,0,1
"X.260","RD.190125.71.f.m1.w1.Rdata","X.260",1,1,0,1
"X.261","RD.190125.71.f.m1.w1.Rdata","X.261",0,1,0,0
"X.262","RD.190125.71.f.m1.w1.Rdata","X.262",1,0,1,1
"X.263","RD.190125.71.f.m1.w1.Rdata","X.263",1,1,0,1
"X.264","RD.190125.71.f.m1.w1.Rdata","X.264",1,0,0,1
"X.265","RD.190125.71.f.m1.w1.Rdata","X.265",1,0,0,1
"X.266","RD.190125.71.f.m1.w1.Rdata","X.266",1,1,0,1
"X.267","RD.190125.71.f.m1.w1.Rdata","X.267",1,0,1,1
"X.268","RD.190125.71.f.m1.w1.Rdata","X.268",0,0,0,0
"X.269","RD.190125.71.f.m1.w1.Rdata","X.269",0,0,1,1
"X.270","RD.190125.71.f.m1.w1.Rdata","X.270",0,0,0,0
"X.271","RD.190125.71.f.m1.w1.Rdata","X.271",0,0,0,0
"X.272","RD.190125.71.f.m1.w1.Rdata","X.272",0,0,1,1
"X.273","RD.190125.71.f.m1.w1.Rdata","X.273",0,0,0,0
"X.274","RD.190125.71.f.m1.w1.Rdata","X.274",0,1,0,1
"X.275","RD.190125.71.f.m1.w1.Rdata","X.275",0,0,0,0
"X.276","RD.190125.71.f.m1.w1.Rdata","X.276",0,0,0,1
"X.277","RD.190125.71.f.m1.w1.Rdata","X.277",0,1,1,1
"X.278","RD.190125.71.f.m1.w1.Rdata","X.278",0,0,1,1
"X.279","RD.190125.71.f.m1.w1.Rdata","X.279",0,0,1,1
"X.280","RD.190125.71.f.m1.w1.Rdata","X.280",0,1,1,1
"X.281","RD.190125.71.f.m1.w1.Rdata","X.281",0,0,1,1
"X.282","RD.190125.71.f.m1.w1.Rdata","X.282",0,1,0,0
"X.283","RD.190125.71.f.m1.w1.Rdata","X.283",1,1,0,1
"X.284","RD.190125.71.f.m1.w1.Rdata","X.284",0,0,0,0
"X.285","RD.190125.71.f.m1.w1.Rdata","X.285",0,0,0,0
"X.286","RD.190125.71.f.m1.w1.Rdata","X.286",0,0,0,0
"X.287","RD.190125.71.f.m1.w1.Rdata","X.287",0,0,0,0
"X.288","RD.190125.71.f.m1.w1.Rdata","X.288",1,1,1,1
"X.289","RD.190125.71.f.m1.w1.Rdata","X.289",0,0,0,0
"X.290","RD.190125.71.f.m1.w1.Rdata","X.290",0,0,1,1
"X.291","RD.190125.71.f.m1.w1.Rdata","X.291",0,0,1,1
"X.292","RD.190125.71.f.m1.w1.Rdata","X.292",0,0,1,1
"X.293","RD.190125.71.f.m1.w1.Rdata","X.293",1,0,0,0
"X.294","RD.190125.71.f.m1.w1.Rdata","X.294",0,0,0,0
"X.295","RD.190125.71.f.m1.w1.Rdata","X.295",0,0,0,0
"X.296","RD.190125.71.f.m1.w1.Rdata","X.296",0,0,1,1
"X.297","RD.190125.71.f.m1.w1.Rdata","X.297",0,1,0,1
"X.298","RD.190125.71.f.m1.w1.Rdata","X.298",1,1,0,1
"X.299","RD.190125.71.f.m1.w1.Rdata","X.299",0,1,1,1
"X.300","RD.190125.71.f.m1.w1.Rdata","X.300",0,0,0,0
"X.301","RD.190125.71.f.m1.w1.Rdata","X.301",1,1,0,1
"X.302","RD.190125.71.f.m1.w1.Rdata","X.302",0,0,0,1
"X.303","RD.190125.71.f.m1.w1.Rdata","X.303",1,1,0,1
"X.304","RD.190125.71.f.m1.w1.Rdata","X.304",0,1,0,1
"X.305","RD.190125.71.f.m1.w1.Rdata","X.305",0,0,1,1
"X.306","RD.190125.71.f.m1.w1.Rdata","X.306",1,1,0,1
"X.307","RD.190125.71.f.m1.w1.Rdata","X.307",0,0,0,0
"X.308","RD.190125.71.f.m1.w1.Rdata","X.308",1,1,1,1
"X.309","RD.190125.71.f.m1.w1.Rdata","X.309",0,0,1,1
"X.310","RD.190125.71.f.m1.w1.Rdata","X.310",0,0,1,1
"X.311","RD.190125.71.f.m1.w1.Rdata","X.311",1,1,1,1
"X.312","RD.190125.71.f.m1.w1.Rdata","X.312",0,1,1,1
"X.313","RD.190125.71.f.m1.w1.Rdata","X.313",0,0,0,0
"X.314","RD.190125.71.f.m1.w1.Rdata","X.314",1,1,0,1
"X.315","RD.190125.71.f.m1.w1.Rdata","X.315",1,1,1,1
"X.316","RD.190125.71.f.m1.w1.Rdata","X.316",0,0,0,0
"X.317","RD.190125.71.f.m1.w1.Rdata","X.317",0,0,0,0
"X.318","RD.190125.71.f.m1.w1.Rdata","X.318",0,0,1,1
"X.319","RD.190125.71.f.m1.w1.Rdata","X.319",0,0,0,0
"X.320","RD.190125.71.f.m1.w1.Rdata","X.320",0,0,0,0
"X.321","RD.190125.71.f.m1.w1.Rdata","X.321",1,1,0,1
"X.322","RD.190125.71.f.m1.w1.Rdata","X.322",1,1,0,1
"X.323","RD.190125.71.f.m1.w1.Rdata","X.323",0,1,0,1
"X.324","RD.190125.71.f.m1.w1.Rdata","X.324",0,0,1,1
"X.325","RD.190125.71.f.m1.w1.Rdata","X.325",0,0,1,1
"X.326","RD.190125.71.f.m1.w1.Rdata","X.326",0,0,0,0
"X.327","RD.190125.71.f.m1.w1.Rdata","X.327",1,0,1,1
"X.328","RD.190125.71.f.m1.w1.Rdata","X.328",0,0,0,1
"X.329","RD.190125.71.f.m1.w1.Rdata","X.329",0,0,0,0
"X.330","RD.190125.71.f.m1.w1.Rdata","X.330",1,1,0,1
"X.331","RD.190125.71.f.m1.w1.Rdata","X.331",0,1,0,0
"X.332","RD.190125.71.f.m1.w1.Rdata","X.332",0,0,0,0
"X.333","RD.190125.71.f.m1.w1.Rdata","X.333",1,1,0,1
"X.334","RD.190125.71.f.m1.w1.Rdata","X.334",0,0,1,1
"X.335","RD.190125.71.f.m1.w1.Rdata","X.335",0,0,0,0
"X.336","RD.190125.71.f.m1.w1.Rdata","X.336",0,0,0,0
"X.337","RD.190125.71.f.m1.w1.Rdata","X.337",0,0,0,0
"X.338","RD.190125.71.f.m1.w1.Rdata","X.338",1,1,1,1
"X.339","RD.190125.71.f.m1.w1.Rdata","X.339",1,1,0,1
"X.340","RD.190125.71.f.m1.w1.Rdata","X.340",1,1,0,1
"X.341","RD.190125.71.f.m1.w1.Rdata","X.341",0,1,0,1
"X.342","RD.190125.71.f.m1.w1.Rdata","X.342",1,0,0,1
"X.343","RD.190125.71.f.m1.w1.Rdata","X.343",0,0,0,0
"X.344","RD.190125.71.f.m1.w1.Rdata","X.344",1,1,0,1
"X.345","RD.190125.71.f.m1.w1.Rdata","X.345",0,0,0,0
"X.346","RD.190125.71.f.m1.w1.Rdata","X.346",1,1,0,1
"X.347","RD.190125.71.f.m1.w1.Rdata","X.347",1,1,0,1
"X.348","RD.190125.71.f.m1.w1.Rdata","X.348",0,1,0,0
"X.349","RD.190125.71.f.m1.w1.Rdata","X.349",0,0,0,0
"X.350","RD.190125.71.f.m1.w1.Rdata","X.350",0,0,0,0
"X.351","RD.190125.71.f.m1.w1.Rdata","X.351",0,1,0,1
"X.352","RD.190125.71.f.m1.w1.Rdata","X.352",0,0,1,1
"X.353","RD.190125.71.f.m1.w1.Rdata","X.353",1,0,1,1
"X.354","RD.190125.71.f.m1.w1.Rdata","X.354",0,0,0,0
"X.355","RD.190125.71.f.m1.w1.Rdata","X.355",0,0,0,1
"X.356","RD.190125.71.f.m1.w1.Rdata","X.356",0,0,1,1
"X.357","RD.190125.71.f.m1.w1.Rdata","X.357",1,1,0,1
"X.358","RD.190125.71.f.m1.w1.Rdata","X.358",0,1,1,1
"X.359","RD.190125.71.f.m1.w1.Rdata","X.359",0,0,0,0
"X.360","RD.190125.71.f.m1.w1.Rdata","X.360",1,1,0,1
"X.361","RD.190125.71.f.m1.w1.Rdata","X.361",1,0,0,1
"X.362","RD.190125.71.f.m1.w1.Rdata","X.362",1,1,0,1
"X.363","RD.190125.71.f.m1.w1.Rdata","X.363",0,0,0,0
"X.364","RD.190125.71.f.m1.w1.Rdata","X.364",0,0,0,1
"X.365","RD.190125.71.f.m1.w1.Rdata","X.365",1,1,0,1
