"","exp_name","cell_name","Menthol.400uM","AITC.100uM","Capsaicin.300nM","K.40mM"
"X.47","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.47",0,1,0,0
"X.48","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.48",1,1,0,0
"X.49","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.49",0,0,0,0
"X.50","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.50",0,0,0,0
"X.51","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.51",1,1,0,0
"X.52","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.52",1,1,0,0
"X.53","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.53",0,0,1,0
"X.54","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.54",1,1,0,0
"X.55","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.55",0,0,1,0
"X.56","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.56",0,0,0,0
"X.57","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.57",1,1,0,0
"X.58","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.58",0,0,0,0
"X.59","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.59",0,0,0,1
"X.60","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.60",1,0,0,0
"X.61","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.61",1,0,0,0
"X.62","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.62",0,0,0,0
"X.63","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.63",0,0,0,0
"X.64","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.64",1,0,1,0
"X.65","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.65",0,0,0,0
"X.66","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.66",0,0,0,0
"X.67","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.67",0,0,0,0
"X.68","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.68",0,0,0,0
"X.69","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.69",1,1,0,0
"X.70","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.70",0,0,0,0
"X.71","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.71",0,1,0,0
"X.72","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.72",0,1,0,0
"X.73","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.73",0,0,0,0
"X.74","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.74",0,0,0,0
"X.75","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.75",1,1,0,0
"X.76","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.76",1,0,0,0
"X.77","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.77",1,0,1,0
"X.78","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.78",1,0,0,0
"X.79","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.79",0,0,1,0
"X.80","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.80",0,0,0,0
"X.81","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.81",1,1,0,0
"X.82","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.82",1,0,1,0
"X.83","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.83",0,0,0,0
"X.84","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.84",0,0,1,0
"X.85","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.85",1,1,0,0
"X.86","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.86",1,0,0,0
"X.87","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.87",0,0,0,0
"X.88","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.88",0,0,0,0
"X.89","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.89",0,0,0,0
"X.90","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.90",0,0,0,0
"X.91","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.91",1,1,0,0
"X.92","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.92",0,0,0,0
"X.93","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.93",1,0,0,0
"X.94","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.94",0,0,0,0
"X.95","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.95",0,0,0,1
"X.96","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.96",1,1,0,0
"X.97","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.97",0,0,0,0
"X.98","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.98",0,0,0,0
"X.99","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.99",0,0,0,0
"X.100","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.100",0,0,0,0
"X.101","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.101",0,1,0,1
"X.102","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.102",0,0,0,0
"X.103","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.103",0,0,0,0
"X.104","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.104",0,0,0,0
"X.105","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.105",0,0,1,0
"X.106","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.106",1,1,0,0
"X.107","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.107",1,1,0,0
"X.108","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.108",0,0,0,0
"X.109","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.109",1,1,0,0
"X.110","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.110",1,1,0,0
"X.111","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.111",1,0,0,0
"X.112","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.112",0,0,0,0
"X.113","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.113",0,0,0,0
"X.114","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.114",1,1,0,0
"X.115","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.115",1,0,0,1
"X.116","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.116",0,0,0,0
"X.117","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.117",0,0,0,0
"X.118","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.118",1,1,0,0
"X.119","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.119",0,0,0,0
"X.120","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.120",1,0,0,0
"X.121","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.121",0,0,0,0
"X.122","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.122",1,1,0,0
"X.123","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.123",1,1,0,1
"X.124","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.124",0,0,0,1
"X.125","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.125",0,0,0,0
"X.126","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.126",1,0,0,0
"X.127","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.127",0,0,0,1
"X.128","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.128",0,0,0,0
"X.129","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.129",0,0,0,0
"X.130","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.130",1,1,0,0
"X.131","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.131",0,0,1,0
"X.132","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.132",0,0,0,0
"X.133","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.133",1,0,0,0
"X.134","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.134",0,0,1,0
"X.135","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.135",0,0,1,0
"X.136","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.136",1,0,0,0
"X.137","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.137",0,0,0,0
"X.138","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.138",1,0,0,0
"X.139","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.139",0,0,0,0
"X.140","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.140",0,1,0,0
"X.141","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.141",1,1,0,0
"X.142","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.142",0,0,0,0
"X.143","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.143",0,0,0,0
"X.144","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.144",0,0,0,0
"X.145","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.145",0,0,0,1
"X.146","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.146",1,1,0,0
"X.147","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.147",1,0,0,0
"X.148","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.148",0,0,0,0
"X.149","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.149",1,1,0,0
"X.150","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.150",0,0,0,0
"X.151","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.151",0,0,0,0
"X.152","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.152",0,1,0,1
"X.153","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.153",0,0,0,0
"X.154","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.154",1,1,0,0
"X.155","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.155",0,0,0,0
"X.156","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.156",1,1,0,0
"X.157","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.157",0,0,0,0
"X.158","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.158",0,0,0,0
"X.159","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.159",0,0,1,0
"X.160","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.160",0,0,0,0
"X.161","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.161",0,0,0,0
"X.162","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.162",0,0,1,1
"X.163","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.163",0,0,0,0
"X.164","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.164",0,0,0,0
"X.165","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.165",0,0,0,0
"X.166","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.166",0,0,0,0
"X.167","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.167",0,0,0,0
"X.168","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.168",0,0,0,0
"X.169","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.169",1,1,0,0
"X.170","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.170",0,1,1,0
"X.171","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.171",0,0,0,1
"X.172","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.172",0,0,0,0
"X.173","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.173",0,1,0,0
"X.174","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.174",0,0,0,1
"X.175","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.175",0,0,0,0
"X.176","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.176",0,1,1,0
"X.177","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.177",0,0,0,0
"X.178","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.178",0,0,0,0
"X.179","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.179",0,0,0,0
"X.180","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.180",0,0,0,0
"X.181","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.181",1,1,0,0
"X.182","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.182",0,0,0,0
"X.183","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.183",0,0,0,0
"X.184","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.184",0,0,0,0
"X.185","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.185",0,1,0,0
"X.186","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.186",0,1,0,0
"X.187","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.187",0,0,0,0
"X.188","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.188",1,1,0,0
"X.189","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.189",0,0,0,0
"X.190","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.190",0,1,0,0
"X.191","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.191",0,1,0,1
"X.192","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.192",1,0,0,0
"X.193","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.193",0,0,0,0
"X.194","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.194",0,1,1,0
"X.195","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.195",0,1,0,0
"X.196","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.196",0,0,0,0
"X.197","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.197",0,0,0,0
"X.198","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.198",0,0,0,0
"X.199","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.199",1,1,0,0
"X.200","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.200",0,0,0,1
"X.201","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.201",0,0,0,0
"X.202","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.202",0,0,0,0
"X.203","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.203",0,0,0,0
"X.204","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.204",0,0,0,0
"X.205","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.205",0,0,0,1
"X.206","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.206",0,0,0,1
"X.207","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.207",0,0,0,0
"X.208","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.208",0,0,0,0
"X.209","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.209",0,0,0,0
"X.210","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.210",0,0,0,0
"X.211","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.211",0,0,0,0
"X.212","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.212",0,0,0,0
"X.213","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.213",0,0,0,0
"X.214","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.214",0,0,0,0
"X.215","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.215",0,0,1,0
"X.216","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.216",1,0,0,0
"X.217","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.217",0,0,0,0
"X.218","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.218",0,0,0,1
"X.219","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.219",0,0,0,1
"X.220","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.220",1,0,0,1
"X.221","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.221",0,0,1,0
"X.222","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.222",0,0,0,1
"X.223","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.223",1,1,0,0
"X.224","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.224",0,0,0,0
"X.225","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.225",0,0,0,1
"X.226","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.226",0,0,0,0
"X.227","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.227",1,0,0,1
"X.228","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.228",0,1,0,1
"X.229","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.229",0,0,0,1
"X.230","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.230",0,0,0,0
"X.231","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.231",0,0,0,0
"X.232","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.232",0,1,1,0
"X.233","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.233",0,0,0,0
"X.234","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.234",0,0,0,0
"X.235","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.235",0,0,0,0
"X.236","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.236",0,1,0,1
"X.237","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.237",1,1,0,0
"X.238","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.238",0,0,0,0
"X.239","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.239",0,0,0,0
"X.240","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.240",0,0,1,0
"X.241","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.241",0,0,0,1
"X.242","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.242",0,0,0,1
"X.243","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.243",0,1,0,0
"X.244","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.244",0,0,0,0
"X.245","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.245",0,0,1,0
"X.246","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.246",0,0,0,1
"X.247","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.247",0,0,0,0
"X.248","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.248",0,0,0,0
"X.249","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.249",0,0,0,0
"X.250","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.250",1,0,0,0
"X.251","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.251",0,0,1,0
"X.252","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.252",0,0,0,0
"X.253","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.253",0,0,0,0
"X.254","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.254",0,0,0,0
"X.255","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.255",0,0,0,0
"X.256","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.256",0,0,0,0
"X.257","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.257",0,0,0,0
"X.258","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.258",0,0,0,0
"X.259","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.259",0,0,0,0
"X.260","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.260",0,0,0,0
"X.261","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.261",0,0,0,0
"X.262","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.262",0,0,0,0
"X.263","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.263",0,0,0,0
"X.264","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.264",0,0,1,0
"X.265","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.265",0,0,1,0
"X.266","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.266",0,0,0,0
"X.267","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.267",0,0,0,0
"X.268","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.268",0,0,0,0
"X.269","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.269",0,0,0,0
"X.270","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.270",0,1,0,0
"X.271","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.271",0,1,1,0
"X.272","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.272",0,0,0,0
"X.273","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.273",1,1,0,0
"X.274","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.274",0,0,0,0
"X.275","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.275",0,1,0,1
"X.276","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.276",0,0,0,0
"X.277","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.277",0,1,0,0
"X.278","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.278",0,0,0,0
"X.279","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.279",1,0,0,0
"X.280","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.280",1,1,0,0
"X.281","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.281",0,0,0,0
"X.282","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.282",1,1,0,0
"X.283","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.283",1,0,0,0
"X.284","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.284",0,0,0,0
"X.285","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.285",0,0,0,0
"X.286","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.286",0,1,0,0
"X.287","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.287",0,0,1,0
"X.288","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.288",0,0,0,0
"X.289","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.289",0,0,0,1
"X.290","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.290",0,0,0,1
"X.291","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.291",0,0,0,0
"X.292","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.292",0,0,0,0
"X.293","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.293",0,0,0,0
"X.294","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.294",1,0,1,0
"X.295","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.295",0,0,1,0
"X.296","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.296",0,0,0,0
"X.297","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.297",0,0,0,0
"X.298","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.298",0,0,0,0
"X.299","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.299",0,0,0,0
"X.300","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.300",0,0,0,0
"X.301","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.301",1,0,1,0
"X.302","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.302",0,0,0,0
"X.303","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.303",0,0,0,0
"X.304","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.304",0,0,0,1
"X.305","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.305",0,0,0,0
"X.306","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.306",1,0,0,0
"X.307","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.307",0,0,0,1
"X.308","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.308",0,0,0,0
"X.309","RD.190309.40.m.m1.p1.CCI.contra.Rdata","X.309",0,0,0,0
