"","exp_name","cell_name","AITC.100uM","Menthol.400uM","Capsaicin.300nM","K.50mM"
"X.60","RD.181221.l.22.f.p1.Rdata","X.60",0,1,0,0
"X.61","RD.181221.l.22.f.p1.Rdata","X.61",0,0,0,0
"X.62","RD.181221.l.22.f.p1.Rdata","X.62",0,0,0,1
"X.63","RD.181221.l.22.f.p1.Rdata","X.63",0,0,0,1
"X.64","RD.181221.l.22.f.p1.Rdata","X.64",0,0,0,0
"X.65","RD.181221.l.22.f.p1.Rdata","X.65",0,0,1,1
"X.66","RD.181221.l.22.f.p1.Rdata","X.66",0,0,0,0
"X.67","RD.181221.l.22.f.p1.Rdata","X.67",0,0,0,0
"X.68","RD.181221.l.22.f.p1.Rdata","X.68",1,1,0,1
"X.69","RD.181221.l.22.f.p1.Rdata","X.69",0,0,0,0
"X.70","RD.181221.l.22.f.p1.Rdata","X.70",0,0,0,0
"X.71","RD.181221.l.22.f.p1.Rdata","X.71",0,0,0,0
"X.72","RD.181221.l.22.f.p1.Rdata","X.72",0,0,0,0
"X.73","RD.181221.l.22.f.p1.Rdata","X.73",1,1,0,1
"X.74","RD.181221.l.22.f.p1.Rdata","X.74",0,0,1,1
"X.75","RD.181221.l.22.f.p1.Rdata","X.75",0,0,0,0
"X.76","RD.181221.l.22.f.p1.Rdata","X.76",0,0,0,0
"X.77","RD.181221.l.22.f.p1.Rdata","X.77",0,0,0,0
"X.78","RD.181221.l.22.f.p1.Rdata","X.78",0,0,0,0
"X.79","RD.181221.l.22.f.p1.Rdata","X.79",0,0,0,1
"X.80","RD.181221.l.22.f.p1.Rdata","X.80",0,0,0,0
"X.81","RD.181221.l.22.f.p1.Rdata","X.81",1,0,0,0
"X.82","RD.181221.l.22.f.p1.Rdata","X.82",0,1,0,1
"X.83","RD.181221.l.22.f.p1.Rdata","X.83",1,1,0,1
"X.84","RD.181221.l.22.f.p1.Rdata","X.84",0,0,0,0
"X.85","RD.181221.l.22.f.p1.Rdata","X.85",0,0,0,0
"X.86","RD.181221.l.22.f.p1.Rdata","X.86",0,0,0,0
"X.87","RD.181221.l.22.f.p1.Rdata","X.87",0,0,0,1
"X.88","RD.181221.l.22.f.p1.Rdata","X.88",0,0,0,0
"X.89","RD.181221.l.22.f.p1.Rdata","X.89",1,0,0,1
"X.90","RD.181221.l.22.f.p1.Rdata","X.90",0,1,0,1
"X.91","RD.181221.l.22.f.p1.Rdata","X.91",0,0,0,0
"X.92","RD.181221.l.22.f.p1.Rdata","X.92",0,0,0,0
"X.93","RD.181221.l.22.f.p1.Rdata","X.93",0,0,0,0
"X.94","RD.181221.l.22.f.p1.Rdata","X.94",0,0,0,1
"X.95","RD.181221.l.22.f.p1.Rdata","X.95",0,1,1,1
"X.96","RD.181221.l.22.f.p1.Rdata","X.96",0,0,0,0
"X.97","RD.181221.l.22.f.p1.Rdata","X.97",0,0,1,1
"X.98","RD.181221.l.22.f.p1.Rdata","X.98",1,1,0,1
"X.99","RD.181221.l.22.f.p1.Rdata","X.99",0,0,1,1
"X.100","RD.181221.l.22.f.p1.Rdata","X.100",1,0,0,1
"X.101","RD.181221.l.22.f.p1.Rdata","X.101",0,0,1,1
"X.102","RD.181221.l.22.f.p1.Rdata","X.102",0,0,1,1
"X.103","RD.181221.l.22.f.p1.Rdata","X.103",0,0,1,0
"X.104","RD.181221.l.22.f.p1.Rdata","X.104",0,0,0,0
"X.105","RD.181221.l.22.f.p1.Rdata","X.105",0,0,0,0
"X.106","RD.181221.l.22.f.p1.Rdata","X.106",0,0,0,0
"X.107","RD.181221.l.22.f.p1.Rdata","X.107",1,0,1,1
"X.108","RD.181221.l.22.f.p1.Rdata","X.108",0,0,0,0
"X.109","RD.181221.l.22.f.p1.Rdata","X.109",0,0,0,0
"X.110","RD.181221.l.22.f.p1.Rdata","X.110",0,0,0,0
"X.111","RD.181221.l.22.f.p1.Rdata","X.111",0,0,0,0
"X.112","RD.181221.l.22.f.p1.Rdata","X.112",0,0,1,0
"X.113","RD.181221.l.22.f.p1.Rdata","X.113",1,1,0,1
"X.114","RD.181221.l.22.f.p1.Rdata","X.114",1,1,0,1
"X.115","RD.181221.l.22.f.p1.Rdata","X.115",0,0,1,1
"X.116","RD.181221.l.22.f.p1.Rdata","X.116",0,0,0,1
"X.117","RD.181221.l.22.f.p1.Rdata","X.117",0,0,0,0
"X.118","RD.181221.l.22.f.p1.Rdata","X.118",0,0,0,0
"X.119","RD.181221.l.22.f.p1.Rdata","X.119",1,0,0,1
"X.120","RD.181221.l.22.f.p1.Rdata","X.120",0,0,0,0
"X.121","RD.181221.l.22.f.p1.Rdata","X.121",0,0,0,0
"X.122","RD.181221.l.22.f.p1.Rdata","X.122",0,1,0,1
"X.123","RD.181221.l.22.f.p1.Rdata","X.123",1,1,0,1
"X.124","RD.181221.l.22.f.p1.Rdata","X.124",0,0,0,1
"X.125","RD.181221.l.22.f.p1.Rdata","X.125",0,0,0,0
"X.126","RD.181221.l.22.f.p1.Rdata","X.126",0,0,0,0
"X.127","RD.181221.l.22.f.p1.Rdata","X.127",0,0,0,1
"X.128","RD.181221.l.22.f.p1.Rdata","X.128",0,0,0,0
"X.129","RD.181221.l.22.f.p1.Rdata","X.129",0,0,0,0
"X.130","RD.181221.l.22.f.p1.Rdata","X.130",1,0,0,1
"X.131","RD.181221.l.22.f.p1.Rdata","X.131",1,1,0,1
"X.132","RD.181221.l.22.f.p1.Rdata","X.132",1,0,0,1
"X.133","RD.181221.l.22.f.p1.Rdata","X.133",0,0,0,0
"X.134","RD.181221.l.22.f.p1.Rdata","X.134",0,0,0,1
"X.135","RD.181221.l.22.f.p1.Rdata","X.135",1,1,0,1
"X.136","RD.181221.l.22.f.p1.Rdata","X.136",0,0,0,0
"X.137","RD.181221.l.22.f.p1.Rdata","X.137",0,0,0,0
"X.138","RD.181221.l.22.f.p1.Rdata","X.138",1,0,1,1
"X.139","RD.181221.l.22.f.p1.Rdata","X.139",1,1,0,1
"X.140","RD.181221.l.22.f.p1.Rdata","X.140",0,0,0,0
"X.141","RD.181221.l.22.f.p1.Rdata","X.141",1,1,0,1
"X.142","RD.181221.l.22.f.p1.Rdata","X.142",0,0,0,0
"X.143","RD.181221.l.22.f.p1.Rdata","X.143",0,0,0,1
"X.144","RD.181221.l.22.f.p1.Rdata","X.144",0,0,0,0
"X.145","RD.181221.l.22.f.p1.Rdata","X.145",0,0,0,0
"X.146","RD.181221.l.22.f.p1.Rdata","X.146",0,0,0,0
"X.147","RD.181221.l.22.f.p1.Rdata","X.147",0,0,0,0
"X.148","RD.181221.l.22.f.p1.Rdata","X.148",0,0,0,0
"X.149","RD.181221.l.22.f.p1.Rdata","X.149",0,0,0,0
"X.150","RD.181221.l.22.f.p1.Rdata","X.150",0,0,0,0
"X.151","RD.181221.l.22.f.p1.Rdata","X.151",1,1,0,1
"X.152","RD.181221.l.22.f.p1.Rdata","X.152",0,0,1,1
"X.153","RD.181221.l.22.f.p1.Rdata","X.153",0,0,1,1
"X.154","RD.181221.l.22.f.p1.Rdata","X.154",0,0,0,0
"X.155","RD.181221.l.22.f.p1.Rdata","X.155",0,0,0,0
"X.156","RD.181221.l.22.f.p1.Rdata","X.156",0,0,0,1
"X.157","RD.181221.l.22.f.p1.Rdata","X.157",0,0,0,0
"X.158","RD.181221.l.22.f.p1.Rdata","X.158",0,0,0,0
"X.159","RD.181221.l.22.f.p1.Rdata","X.159",0,0,0,1
"X.160","RD.181221.l.22.f.p1.Rdata","X.160",0,0,0,0
"X.161","RD.181221.l.22.f.p1.Rdata","X.161",0,0,0,1
"X.162","RD.181221.l.22.f.p1.Rdata","X.162",1,0,0,1
"X.163","RD.181221.l.22.f.p1.Rdata","X.163",0,0,0,0
"X.164","RD.181221.l.22.f.p1.Rdata","X.164",0,0,0,1
"X.165","RD.181221.l.22.f.p1.Rdata","X.165",0,0,0,0
"X.166","RD.181221.l.22.f.p1.Rdata","X.166",0,0,0,0
"X.167","RD.181221.l.22.f.p1.Rdata","X.167",0,0,1,1
"X.168","RD.181221.l.22.f.p1.Rdata","X.168",0,0,0,0
"X.169","RD.181221.l.22.f.p1.Rdata","X.169",0,0,1,1
"X.170","RD.181221.l.22.f.p1.Rdata","X.170",0,0,0,1
"X.171","RD.181221.l.22.f.p1.Rdata","X.171",0,0,0,0
"X.172","RD.181221.l.22.f.p1.Rdata","X.172",1,0,0,1
"X.173","RD.181221.l.22.f.p1.Rdata","X.173",1,0,0,1
"X.174","RD.181221.l.22.f.p1.Rdata","X.174",0,0,0,0
"X.175","RD.181221.l.22.f.p1.Rdata","X.175",1,0,0,1
"X.176","RD.181221.l.22.f.p1.Rdata","X.176",1,1,1,1
"X.177","RD.181221.l.22.f.p1.Rdata","X.177",0,0,0,0
"X.178","RD.181221.l.22.f.p1.Rdata","X.178",0,0,0,0
"X.179","RD.181221.l.22.f.p1.Rdata","X.179",0,0,0,0
"X.180","RD.181221.l.22.f.p1.Rdata","X.180",0,0,1,1
"X.181","RD.181221.l.22.f.p1.Rdata","X.181",0,0,0,0
"X.182","RD.181221.l.22.f.p1.Rdata","X.182",0,0,0,0
"X.183","RD.181221.l.22.f.p1.Rdata","X.183",1,1,0,1
"X.184","RD.181221.l.22.f.p1.Rdata","X.184",0,0,0,0
"X.185","RD.181221.l.22.f.p1.Rdata","X.185",0,0,0,0
"X.186","RD.181221.l.22.f.p1.Rdata","X.186",0,0,0,0
"X.187","RD.181221.l.22.f.p1.Rdata","X.187",0,0,0,0
"X.188","RD.181221.l.22.f.p1.Rdata","X.188",0,0,0,0
"X.189","RD.181221.l.22.f.p1.Rdata","X.189",0,0,0,0
"X.190","RD.181221.l.22.f.p1.Rdata","X.190",0,0,0,0
"X.191","RD.181221.l.22.f.p1.Rdata","X.191",1,1,0,1
"X.192","RD.181221.l.22.f.p1.Rdata","X.192",1,1,0,1
"X.193","RD.181221.l.22.f.p1.Rdata","X.193",0,0,0,0
"X.194","RD.181221.l.22.f.p1.Rdata","X.194",0,0,0,0
"X.195","RD.181221.l.22.f.p1.Rdata","X.195",0,0,0,0
"X.196","RD.181221.l.22.f.p1.Rdata","X.196",0,1,0,1
"X.197","RD.181221.l.22.f.p1.Rdata","X.197",0,0,0,0
"X.198","RD.181221.l.22.f.p1.Rdata","X.198",0,0,0,0
"X.199","RD.181221.l.22.f.p1.Rdata","X.199",1,1,0,1
"X.200","RD.181221.l.22.f.p1.Rdata","X.200",0,0,1,1
"X.201","RD.181221.l.22.f.p1.Rdata","X.201",0,0,1,1
"X.202","RD.181221.l.22.f.p1.Rdata","X.202",0,0,0,0
"X.203","RD.181221.l.22.f.p1.Rdata","X.203",0,0,0,0
"X.204","RD.181221.l.22.f.p1.Rdata","X.204",0,0,1,1
"X.205","RD.181221.l.22.f.p1.Rdata","X.205",0,0,0,0
"X.206","RD.181221.l.22.f.p1.Rdata","X.206",0,0,0,0
"X.207","RD.181221.l.22.f.p1.Rdata","X.207",0,0,0,0
"X.208","RD.181221.l.22.f.p1.Rdata","X.208",0,0,0,0
"X.209","RD.181221.l.22.f.p1.Rdata","X.209",0,0,0,0
"X.210","RD.181221.l.22.f.p1.Rdata","X.210",0,0,0,0
"X.211","RD.181221.l.22.f.p1.Rdata","X.211",0,0,0,0
"X.212","RD.181221.l.22.f.p1.Rdata","X.212",0,0,0,1
"X.213","RD.181221.l.22.f.p1.Rdata","X.213",0,0,0,0
"X.214","RD.181221.l.22.f.p1.Rdata","X.214",0,0,0,0
"X.215","RD.181221.l.22.f.p1.Rdata","X.215",0,0,0,0
"X.216","RD.181221.l.22.f.p1.Rdata","X.216",0,0,0,1
"X.217","RD.181221.l.22.f.p1.Rdata","X.217",0,0,1,0
"X.218","RD.181221.l.22.f.p1.Rdata","X.218",1,1,0,1
"X.219","RD.181221.l.22.f.p1.Rdata","X.219",0,0,1,1
"X.220","RD.181221.l.22.f.p1.Rdata","X.220",1,1,0,1
"X.221","RD.181221.l.22.f.p1.Rdata","X.221",1,1,0,1
"X.222","RD.181221.l.22.f.p1.Rdata","X.222",0,0,0,1
"X.223","RD.181221.l.22.f.p1.Rdata","X.223",0,0,0,0
"X.224","RD.181221.l.22.f.p1.Rdata","X.224",0,0,0,0
"X.225","RD.181221.l.22.f.p1.Rdata","X.225",0,0,0,0
"X.226","RD.181221.l.22.f.p1.Rdata","X.226",0,0,0,1
"X.227","RD.181221.l.22.f.p1.Rdata","X.227",0,0,0,1
"X.228","RD.181221.l.22.f.p1.Rdata","X.228",0,0,0,1
"X.229","RD.181221.l.22.f.p1.Rdata","X.229",0,0,0,0
"X.230","RD.181221.l.22.f.p1.Rdata","X.230",0,0,0,0
"X.231","RD.181221.l.22.f.p1.Rdata","X.231",0,0,0,0
"X.232","RD.181221.l.22.f.p1.Rdata","X.232",1,1,0,1
"X.233","RD.181221.l.22.f.p1.Rdata","X.233",0,0,0,1
"X.234","RD.181221.l.22.f.p1.Rdata","X.234",0,1,0,1
"X.235","RD.181221.l.22.f.p1.Rdata","X.235",1,0,1,1
"X.236","RD.181221.l.22.f.p1.Rdata","X.236",0,0,1,1
"X.237","RD.181221.l.22.f.p1.Rdata","X.237",0,0,0,0
"X.238","RD.181221.l.22.f.p1.Rdata","X.238",0,0,0,0
"X.239","RD.181221.l.22.f.p1.Rdata","X.239",0,0,0,1
"X.240","RD.181221.l.22.f.p1.Rdata","X.240",0,0,0,0
"X.241","RD.181221.l.22.f.p1.Rdata","X.241",0,1,0,1
"X.242","RD.181221.l.22.f.p1.Rdata","X.242",0,0,1,1
"X.243","RD.181221.l.22.f.p1.Rdata","X.243",1,1,0,1
"X.244","RD.181221.l.22.f.p1.Rdata","X.244",0,0,0,0
"X.245","RD.181221.l.22.f.p1.Rdata","X.245",0,0,0,0
"X.246","RD.181221.l.22.f.p1.Rdata","X.246",1,0,0,1
"X.247","RD.181221.l.22.f.p1.Rdata","X.247",0,0,1,1
"X.248","RD.181221.l.22.f.p1.Rdata","X.248",0,0,1,1
"X.249","RD.181221.l.22.f.p1.Rdata","X.249",0,0,0,1
"X.250","RD.181221.l.22.f.p1.Rdata","X.250",0,0,0,0
"X.251","RD.181221.l.22.f.p1.Rdata","X.251",1,1,1,1
"X.252","RD.181221.l.22.f.p1.Rdata","X.252",1,0,1,1
"X.253","RD.181221.l.22.f.p1.Rdata","X.253",1,0,0,0
"X.254","RD.181221.l.22.f.p1.Rdata","X.254",0,1,0,1
"X.255","RD.181221.l.22.f.p1.Rdata","X.255",0,0,0,0
"X.256","RD.181221.l.22.f.p1.Rdata","X.256",0,0,0,0
"X.257","RD.181221.l.22.f.p1.Rdata","X.257",0,0,0,0
"X.258","RD.181221.l.22.f.p1.Rdata","X.258",1,0,1,1
"X.259","RD.181221.l.22.f.p1.Rdata","X.259",0,0,0,0
"X.260","RD.181221.l.22.f.p1.Rdata","X.260",0,0,0,0
"X.261","RD.181221.l.22.f.p1.Rdata","X.261",0,0,0,1
"X.262","RD.181221.l.22.f.p1.Rdata","X.262",0,0,0,0
"X.263","RD.181221.l.22.f.p1.Rdata","X.263",0,0,0,0
"X.264","RD.181221.l.22.f.p1.Rdata","X.264",0,0,1,1
"X.265","RD.181221.l.22.f.p1.Rdata","X.265",0,0,0,0
"X.266","RD.181221.l.22.f.p1.Rdata","X.266",0,0,0,0
"X.267","RD.181221.l.22.f.p1.Rdata","X.267",0,0,0,0
"X.268","RD.181221.l.22.f.p1.Rdata","X.268",0,0,0,0
"X.269","RD.181221.l.22.f.p1.Rdata","X.269",0,0,0,0
"X.270","RD.181221.l.22.f.p1.Rdata","X.270",0,0,0,0
"X.271","RD.181221.l.22.f.p1.Rdata","X.271",1,0,1,1
"X.272","RD.181221.l.22.f.p1.Rdata","X.272",0,0,0,0
"X.273","RD.181221.l.22.f.p1.Rdata","X.273",0,0,1,1
"X.274","RD.181221.l.22.f.p1.Rdata","X.274",0,0,0,1
"X.275","RD.181221.l.22.f.p1.Rdata","X.275",0,0,0,0
"X.276","RD.181221.l.22.f.p1.Rdata","X.276",1,0,0,1
"X.277","RD.181221.l.22.f.p1.Rdata","X.277",1,1,0,1
"X.278","RD.181221.l.22.f.p1.Rdata","X.278",0,0,0,0
"X.279","RD.181221.l.22.f.p1.Rdata","X.279",0,0,1,1
"X.280","RD.181221.l.22.f.p1.Rdata","X.280",0,0,0,0
"X.281","RD.181221.l.22.f.p1.Rdata","X.281",1,0,0,1
"X.282","RD.181221.l.22.f.p1.Rdata","X.282",0,0,1,0
"X.283","RD.181221.l.22.f.p1.Rdata","X.283",0,0,1,1
"X.284","RD.181221.l.22.f.p1.Rdata","X.284",0,0,1,1
"X.285","RD.181221.l.22.f.p1.Rdata","X.285",0,0,0,0
"X.286","RD.181221.l.22.f.p1.Rdata","X.286",0,0,0,0
"X.287","RD.181221.l.22.f.p1.Rdata","X.287",0,0,0,0
"X.288","RD.181221.l.22.f.p1.Rdata","X.288",0,0,0,0
"X.289","RD.181221.l.22.f.p1.Rdata","X.289",0,0,0,0
"X.290","RD.181221.l.22.f.p1.Rdata","X.290",0,0,0,1
"X.291","RD.181221.l.22.f.p1.Rdata","X.291",0,0,0,0
"X.292","RD.181221.l.22.f.p1.Rdata","X.292",0,0,0,0
"X.293","RD.181221.l.22.f.p1.Rdata","X.293",0,0,0,0
"X.294","RD.181221.l.22.f.p1.Rdata","X.294",0,0,0,0
"X.295","RD.181221.l.22.f.p1.Rdata","X.295",1,1,0,1
"X.296","RD.181221.l.22.f.p1.Rdata","X.296",0,0,0,0
"X.297","RD.181221.l.22.f.p1.Rdata","X.297",0,0,0,0
"X.298","RD.181221.l.22.f.p1.Rdata","X.298",0,0,1,1
"X.299","RD.181221.l.22.f.p1.Rdata","X.299",0,0,1,1
"X.300","RD.181221.l.22.f.p1.Rdata","X.300",0,1,0,1
"X.301","RD.181221.l.22.f.p1.Rdata","X.301",1,0,0,0
"X.302","RD.181221.l.22.f.p1.Rdata","X.302",0,0,1,1
"X.303","RD.181221.l.22.f.p1.Rdata","X.303",1,0,0,0
"X.304","RD.181221.l.22.f.p1.Rdata","X.304",0,0,0,0
"X.305","RD.181221.l.22.f.p1.Rdata","X.305",0,0,0,0
"X.306","RD.181221.l.22.f.p1.Rdata","X.306",0,0,1,1
"X.307","RD.181221.l.22.f.p1.Rdata","X.307",0,0,0,0
"X.308","RD.181221.l.22.f.p1.Rdata","X.308",0,0,1,1
"X.309","RD.181221.l.22.f.p1.Rdata","X.309",0,0,0,1
"X.310","RD.181221.l.22.f.p1.Rdata","X.310",1,0,0,1
"X.311","RD.181221.l.22.f.p1.Rdata","X.311",0,0,0,0
"X.312","RD.181221.l.22.f.p1.Rdata","X.312",0,0,0,0
"X.313","RD.181221.l.22.f.p1.Rdata","X.313",0,0,0,1
"X.314","RD.181221.l.22.f.p1.Rdata","X.314",0,0,0,0
"X.315","RD.181221.l.22.f.p1.Rdata","X.315",0,0,1,1
"X.316","RD.181221.l.22.f.p1.Rdata","X.316",0,0,0,0
"X.317","RD.181221.l.22.f.p1.Rdata","X.317",0,1,1,1
"X.318","RD.181221.l.22.f.p1.Rdata","X.318",0,0,0,0
"X.319","RD.181221.l.22.f.p1.Rdata","X.319",0,0,0,0
"X.320","RD.181221.l.22.f.p1.Rdata","X.320",1,0,0,1
"X.321","RD.181221.l.22.f.p1.Rdata","X.321",0,0,0,0
"X.322","RD.181221.l.22.f.p1.Rdata","X.322",0,0,1,1
"X.323","RD.181221.l.22.f.p1.Rdata","X.323",0,1,0,1
"X.324","RD.181221.l.22.f.p1.Rdata","X.324",0,0,1,1
"X.325","RD.181221.l.22.f.p1.Rdata","X.325",0,0,0,0
"X.326","RD.181221.l.22.f.p1.Rdata","X.326",0,0,0,0
"X.327","RD.181221.l.22.f.p1.Rdata","X.327",1,0,0,1
"X.328","RD.181221.l.22.f.p1.Rdata","X.328",0,0,0,0
"X.329","RD.181221.l.22.f.p1.Rdata","X.329",0,1,0,1
"X.330","RD.181221.l.22.f.p1.Rdata","X.330",0,0,0,0
"X.331","RD.181221.l.22.f.p1.Rdata","X.331",0,0,1,1
"X.332","RD.181221.l.22.f.p1.Rdata","X.332",1,0,0,1
"X.333","RD.181221.l.22.f.p1.Rdata","X.333",0,0,1,1
"X.334","RD.181221.l.22.f.p1.Rdata","X.334",0,0,1,1
"X.335","RD.181221.l.22.f.p1.Rdata","X.335",0,0,0,0
"X.336","RD.181221.l.22.f.p1.Rdata","X.336",0,0,0,0
"X.337","RD.181221.l.22.f.p1.Rdata","X.337",0,0,0,0
"X.338","RD.181221.l.22.f.p1.Rdata","X.338",0,0,0,0
"X.339","RD.181221.l.22.f.p1.Rdata","X.339",0,0,0,1
"X.340","RD.181221.l.22.f.p1.Rdata","X.340",0,0,0,0
"X.341","RD.181221.l.22.f.p1.Rdata","X.341",0,0,0,0
"X.342","RD.181221.l.22.f.p1.Rdata","X.342",1,1,0,1
"X.343","RD.181221.l.22.f.p1.Rdata","X.343",0,0,0,0
"X.344","RD.181221.l.22.f.p1.Rdata","X.344",0,0,0,1
"X.345","RD.181221.l.22.f.p1.Rdata","X.345",0,0,0,0
"X.346","RD.181221.l.22.f.p1.Rdata","X.346",0,0,0,0
"X.347","RD.181221.l.22.f.p1.Rdata","X.347",0,0,0,0
"X.348","RD.181221.l.22.f.p1.Rdata","X.348",1,1,1,1
"X.349","RD.181221.l.22.f.p1.Rdata","X.349",0,0,0,0
"X.350","RD.181221.l.22.f.p1.Rdata","X.350",0,0,1,1
"X.351","RD.181221.l.22.f.p1.Rdata","X.351",1,1,0,1
"X.352","RD.181221.l.22.f.p1.Rdata","X.352",1,0,1,1
"X.353","RD.181221.l.22.f.p1.Rdata","X.353",0,0,0,1
"X.354","RD.181221.l.22.f.p1.Rdata","X.354",0,0,0,0
"X.355","RD.181221.l.22.f.p1.Rdata","X.355",0,0,0,0
"X.356","RD.181221.l.22.f.p1.Rdata","X.356",0,0,0,0
"X.357","RD.181221.l.22.f.p1.Rdata","X.357",1,0,0,1
"X.358","RD.181221.l.22.f.p1.Rdata","X.358",0,1,0,1
"X.359","RD.181221.l.22.f.p1.Rdata","X.359",0,0,0,1
"X.360","RD.181221.l.22.f.p1.Rdata","X.360",1,1,0,1
"X.361","RD.181221.l.22.f.p1.Rdata","X.361",0,0,0,0
"X.362","RD.181221.l.22.f.p1.Rdata","X.362",0,0,0,0
"X.363","RD.181221.l.22.f.p1.Rdata","X.363",0,0,0,0
"X.364","RD.181221.l.22.f.p1.Rdata","X.364",1,1,1,1
"X.365","RD.181221.l.22.f.p1.Rdata","X.365",0,0,0,1
"X.366","RD.181221.l.22.f.p1.Rdata","X.366",0,0,0,0
"X.367","RD.181221.l.22.f.p1.Rdata","X.367",0,0,1,1
"X.368","RD.181221.l.22.f.p1.Rdata","X.368",1,0,0,1
"X.369","RD.181221.l.22.f.p1.Rdata","X.369",0,0,1,1
"X.370","RD.181221.l.22.f.p1.Rdata","X.370",0,0,0,0
"X.371","RD.181221.l.22.f.p1.Rdata","X.371",1,0,0,1
"X.372","RD.181221.l.22.f.p1.Rdata","X.372",1,0,0,1
"X.373","RD.181221.l.22.f.p1.Rdata","X.373",1,0,0,1
"X.374","RD.181221.l.22.f.p1.Rdata","X.374",1,1,0,1
"X.375","RD.181221.l.22.f.p1.Rdata","X.375",1,0,0,1
